dataset,sequence,scenario,vehicle,modalities,format,size_gb_advertised,size_gib_probe,duration_s,difficulty,probe_status,recommended_use,directly_comparable_to_oda,download_url,topic_summary
Multi-LiDAR Multi-UAV,HolybroOut02,unstructured outdoor,UAV target tracked by external LiDAR rig,OS1-64 LiDAR; Livox Mid-360; Livox Avia; RGB-D/RGB; IMU; MOCAP,ROS bag,10.9,,40.6,Medium,ok,cross-dataset UAV tracking/perception stress test,"partial: UAV + MOCAP, but tracking dataset not obstacle-avoidance benchmark",https://tiers.github.io/multi_lidar_multi_uav_dataset/,
Multi-LiDAR Multi-UAV,Autel01,unstructured indoor,UAV target tracked by external LiDAR rig,OS1-64 LiDAR; Livox Mid-360; Livox Avia; RGB-D/RGB; IMU; MOCAP,ROS bag,11.1,,41.4,Easy,ok,cross-dataset UAV tracking/perception stress test,"partial: UAV + MOCAP, but tracking dataset not obstacle-avoidance benchmark",https://tiers.github.io/multi_lidar_multi_uav_dataset/,
Multi-LiDAR Multi-UAV,Autel02,unstructured indoor,UAV target tracked by external LiDAR rig,OS1-64 LiDAR; Livox Mid-360; Livox Avia; RGB-D/RGB; IMU; MOCAP,ROS bag,16.3,,60,Easy,ok,cross-dataset UAV tracking/perception stress test,"partial: UAV + MOCAP, but tracking dataset not obstacle-avoidance benchmark",https://tiers.github.io/multi_lidar_multi_uav_dataset/,
Multi-LiDAR Multi-UAV,Autel03,unstructured indoor,UAV target tracked by external LiDAR rig,OS1-64 LiDAR; Livox Mid-360; Livox Avia; RGB-D/RGB; IMU; MOCAP,ROS bag,13.0,,48.6,Easy,ok,cross-dataset UAV tracking/perception stress test,"partial: UAV + MOCAP, but tracking dataset not obstacle-avoidance benchmark",https://tiers.github.io/multi_lidar_multi_uav_dataset/,
Multi-LiDAR Multi-UAV,Autel04,unstructured indoor,UAV target tracked by external LiDAR rig,OS1-64 LiDAR; Livox Mid-360; Livox Avia; RGB-D/RGB; IMU; MOCAP,ROS bag,12.7,,47.3,Medium,ok,cross-dataset UAV tracking/perception stress test,"partial: UAV + MOCAP, but tracking dataset not obstacle-avoidance benchmark",https://tiers.github.io/multi_lidar_multi_uav_dataset/,
Multi-LiDAR Multi-UAV,Autel05,unstructured indoor,UAV target tracked by external LiDAR rig,OS1-64 LiDAR; Livox Mid-360; Livox Avia; RGB-D/RGB; IMU; MOCAP,ROS bag,13.5,,50.2,Hard,ok,cross-dataset UAV tracking/perception stress test,"partial: UAV + MOCAP, but tracking dataset not obstacle-avoidance benchmark",https://tiers.github.io/multi_lidar_multi_uav_dataset/,
Multi-LiDAR Multi-UAV,AutelOut01,unstructured outdoor,UAV target tracked by external LiDAR rig,OS1-64 LiDAR; Livox Mid-360; Livox Avia; RGB-D/RGB; IMU; MOCAP,ROS bag,10.1,,37.6,Hard,ok,cross-dataset UAV tracking/perception stress test,"partial: UAV + MOCAP, but tracking dataset not obstacle-avoidance benchmark",https://tiers.github.io/multi_lidar_multi_uav_dataset/,
Multi-LiDAR Multi-UAV,AutelOut02,unstructured outdoor,UAV target tracked by external LiDAR rig,OS1-64 LiDAR; Livox Mid-360; Livox Avia; RGB-D/RGB; IMU; MOCAP,ROS bag,11.1,,41.3,Hard,ok,cross-dataset UAV tracking/perception stress test,"partial: UAV + MOCAP, but tracking dataset not obstacle-avoidance benchmark",https://tiers.github.io/multi_lidar_multi_uav_dataset/,
Multi-LiDAR Multi-UAV,Tello01,unstructured indoor,UAV target tracked by external LiDAR rig,OS1-64 LiDAR; Livox Mid-360; Livox Avia; RGB-D/RGB; IMU; MOCAP,ROS bag,13.4,,49.9,Medium,ok,cross-dataset UAV tracking/perception stress test,"partial: UAV + MOCAP, but tracking dataset not obstacle-avoidance benchmark",https://tiers.github.io/multi_lidar_multi_uav_dataset/,
Multi-LiDAR Multi-UAV,Tello02,unstructured indoor,UAV target tracked by external LiDAR rig,OS1-64 LiDAR; Livox Mid-360; Livox Avia; RGB-D/RGB; IMU; MOCAP,ROS bag,15.5,,57.8,Medium,ok,cross-dataset UAV tracking/perception stress test,"partial: UAV + MOCAP, but tracking dataset not obstacle-avoidance benchmark",https://tiers.github.io/multi_lidar_multi_uav_dataset/,
Multi-LiDAR Multi-UAV,Tello03,unstructured indoor,UAV target tracked by external LiDAR rig,OS1-64 LiDAR; Livox Mid-360; Livox Avia; RGB-D/RGB; IMU; MOCAP,ROS bag,15.5,,57.8,Hard,ok,cross-dataset UAV tracking/perception stress test,"partial: UAV + MOCAP, but tracking dataset not obstacle-avoidance benchmark",https://tiers.github.io/multi_lidar_multi_uav_dataset/,
Multi-LiDAR Multi-UAV,Tello04,unstructured indoor,UAV target tracked by external LiDAR rig,OS1-64 LiDAR; Livox Mid-360; Livox Avia; RGB-D/RGB; IMU; MOCAP,ROS bag,18.7,,69,Hard,ok,cross-dataset UAV tracking/perception stress test,"partial: UAV + MOCAP, but tracking dataset not obstacle-avoidance benchmark",https://tiers.github.io/multi_lidar_multi_uav_dataset/,
Multi-LiDAR Multi-UAV,Tello05,unstructured indoor,UAV target tracked by external LiDAR rig,OS1-64 LiDAR; Livox Mid-360; Livox Avia; RGB-D/RGB; IMU; MOCAP,ROS bag,14.5,,54.1,Hard,ok,cross-dataset UAV tracking/perception stress test,"partial: UAV + MOCAP, but tracking dataset not obstacle-avoidance benchmark",https://tiers.github.io/multi_lidar_multi_uav_dataset/,
Multi-LiDAR Multi-UAV,TelloOut01,unstructured outdoor,UAV target tracked by external LiDAR rig,OS1-64 LiDAR; Livox Mid-360; Livox Avia; RGB-D/RGB; IMU; MOCAP,ROS bag,10.3,,38.4,Hard,ok,cross-dataset UAV tracking/perception stress test,"partial: UAV + MOCAP, but tracking dataset not obstacle-avoidance benchmark",https://tiers.github.io/multi_lidar_multi_uav_dataset/,
Multi-LiDAR Multi-UAV,TelloOut02,unstructured outdoor,UAV target tracked by external LiDAR rig,OS1-64 LiDAR; Livox Mid-360; Livox Avia; RGB-D/RGB; IMU; MOCAP,ROS bag,7.1,,26.4,Hard,ok,cross-dataset UAV tracking/perception stress test,"partial: UAV + MOCAP, but tracking dataset not obstacle-avoidance benchmark",https://tiers.github.io/multi_lidar_multi_uav_dataset/,
Multi-LiDAR Multi-UAV,Calibration,calibration office indoor,UAV target tracked by external LiDAR rig,OS1-64 LiDAR; Livox Mid-360; Livox Avia; RGB-D/RGB; IMU; MOCAP,ROS bag,1.3,,9.3,,ok,cross-dataset UAV tracking/perception stress test,"partial: UAV + MOCAP, but tracking dataset not obstacle-avoidance benchmark",https://tiers.github.io/multi_lidar_multi_uav_dataset/,
ARCO,Trajectory1,dynamic outdoor/open-building trajectory,ground robot,Ouster LiDAR; radar detections/objects; IMU; TF,ROS2 bag sqlite3 zip,,1.193,193.746,,HEAD 200 application/zip,radar/LiDAR/IMU parsing and sensing-context validation,"no: ground robot localization/mapping, not UAV obstacle avoidance",https://robotics.upo.es/datasets/ArcoDataset/bags/Trayectory1.zip,/DetectionList:3875; /ObjectList:3875; /PointCloudDetection:3875; /PointCloudObject:3875; /arco/idmind_imu/imu:13179; /ouster/imu:19373; /tf:6442; /tf_static:6
ARCO,Trajectory2,dynamic outdoor/open-building trajectory,ground robot,Ouster LiDAR; radar detections/objects; IMU; TF,ROS2 bag sqlite3 zip,,1.290,216.55,,HEAD 200 application/zip,radar/LiDAR/IMU parsing and sensing-context validation,"no: ground robot localization/mapping, not UAV obstacle avoidance",https://robotics.upo.es/datasets/ArcoDataset/bags/Trayectory2.zip,/DetectionList:4321; /ObjectList:4321; /PointCloudDetection:4321; /PointCloudObject:4321; /arco/idmind_imu/imu:14721; /ouster/imu:21605; /tf:7229; /tf_static:6
ARCO,TrafficMonitoring,static traffic-monitoring radar/LiDAR recording,ground robot,Ouster LiDAR; radar detections/objects; IMU; TF,ROS2 bag sqlite3 zip,,0.714,121,,HEAD 200 application/zip,radar/LiDAR/IMU parsing and sensing-context validation,"no: ground robot localization/mapping, not UAV obstacle avoidance",https://robotics.upo.es/datasets/ArcoDataset/bags/TrafficMonitoring.zip,/DetectionList:2436; /ObjectList:2436; /PointCloudDetection:2436; /PointCloudObject:2436; /arco/idmind_imu/imu:8349; /ouster/imu:12177; /tf:4073; /tf_static:6
